Latitude,Longitude,Carbohydrate,Lignin,Lignin_cellulose,Temperature
47.51,-93.45,0.019999849,0.00250337,0.02250322,13.55
47.51,-93.45,0.019671122,0.001935764,0.021606887,11.3
47.51,-93.45,0.02043942,0.001832787,0.022272207,4.55
65.15401,-147.50258,0.014737522,0.001116071,0.015853593,-3
65.15401,-147.50258,0.0171503,0.000977119,0.018127419,-3
65.15401,-147.50258,0.0174446,0.001058095,0.018502695,-3
65.15401,-147.50258,0.016764122,0.001144817,0.017908938,-3
33.40123,-97.57,0.01005358,0.000900956,0.010954537,17.5
33.40123,-97.57,0.01226004,0.000906608,0.013166648,17.5
33.40123,-97.57,0.009775437,0.00069927,0.010474707,17.5
33.40123,-97.57,0.010355865,0.000844905,0.01120077,17.5
33.40123,-97.57,0.01033862,0.000880225,0.011218845,17.5
33.40123,-97.57,0.007884534,0.000804183,0.008688717,17.5
33.40123,-97.57,0.010048088,0.000773345,0.010821432,17.5
33.40123,-97.57,0.010155027,0.000834971,0.010989999,17.5
17.96955,-66.8687,0.008332446,0.000624816,0.008957262,23
17.96955,-66.8687,0.007937353,0.000609739,0.008547092,23
17.96955,-66.8687,0.007703645,0.000543582,0.008247227,23
17.96955,-66.8687,0.00789814,0.000658178,0.008556318,23
17.96955,-66.8687,0.007956436,0.00064907,0.008605506,23
17.96955,-66.8687,0.008331503,0.000635539,0.008967042,23
17.96955,-66.8687,0.007329486,0.000576424,0.00790591,23
63.875798,-149.21335,0.014153708,0.000630405,0.014784114,-1.3
63.875798,-149.21335,0.019094818,0.000621539,0.019716358,-1.3
39.100774,-96.563075,0.00871433,0.000520198,0.009234529,12.4
39.100774,-96.563075,0.009841609,0.000667197,0.010508806,12.4
39.100774,-96.563075,0.009390586,0.000553342,0.009943928,12.4
39.100774,-96.563075,0.009258691,0.000584162,0.009842853,12.4
39.100774,-96.563075,0.009267215,0.000537644,0.00980486,12.4
40.05425,-105.58237,0.018087778,0.001026559,0.019114336,0.3
40.05425,-105.58237,0.012689672,0.000798255,0.013487927,0.3
40.05425,-105.58237,0.010650296,0.000865227,0.011515523,0.3
40.05425,-105.58237,0.014358251,0.001149869,0.015508119,0.3
40.05425,-105.58237,0.012510426,0.000858758,0.013369185,0.3
40.05425,-105.58237,0.014052592,0.000934778,0.01498737,0.3
40.177599,-112.45245,0.009154445,0.000598218,0.009752662,9
40.177599,-112.45245,0.00954276,0.000568201,0.010110961,9
40.177599,-112.45245,0.00764138,0.000544291,0.008185671,9
40.177599,-112.45245,0.009072322,0.000681996,0.009754317,9
40.177599,-112.45245,0.008149783,0.000598559,0.008748342,9
40.177599,-112.45245,0.008351275,0.000586466,0.008937741,9
31.91068,-110.83549,0.011204267,0.0006272,0.011831467,19.3
31.91068,-110.83549,0.009266569,0.00060524,0.009871809,19.3
31.91068,-110.83549,0.00836374,0.000536137,0.008899877,19.3
31.91068,-110.83549,0.008560501,0.000614215,0.009174716,19.3
31.91068,-110.83549,0.008605593,0.00061958,0.009225173,19.3
31.91068,-110.83549,0.010972171,0.00070404,0.01167621,19.3
31.91068,-110.83549,0.008348708,0.000589274,0.008937982,19.3
37.00583,-119.00602,0.01206055,0.000763133,0.012823683,8
37.00583,-119.00602,0.013048497,0.000778028,0.013826525,8
37.00583,-119.00602,0.015253021,0.000964364,0.016217385,8
37.00583,-119.00602,0.010867139,0.00077931,0.011646449,8
37.00583,-119.00602,0.010583022,0.000745994,0.011329015,8
37.00583,-119.00602,0.011413354,0.000816586,0.01222994,8
